iter	Passed	Remaining
0	67	67644
1	68	34328
2	70	23298
3	71	17782
4	89	17761
5	90	14995
6	91	13021
7	93	11536
8	94	10386
9	95	9458
10	98	8847
11	99	8209
12	101	7672
13	103	7257
14	104	6848
15	105	6496
16	106	6184
17	108	5907
18	109	5654
19	110	5429
20	112	5227
21	113	5043
22	114	4877
23	117	4782
24	118	4634
25	120	4498
26	121	4370
27	122	4254
28	123	4146
29	125	4045
30	126	3950
31	127	3860
32	128	3780
33	130	3700
34	133	3686
35	135	3615
36	136	3546
37	137	3479
38	138	3411
39	139	3347
40	140	3293
41	142	3241
42	143	3189
43	144	3135
44	145	3083
45	148	3079
46	149	3030
47	150	2983
48	153	2980
49	154	2937
50	155	2895
51	156	2855
52	157	2816
53	158	2778
54	159	2742
55	162	2736
56	163	2705
57	164	2671
58	165	2638
59	166	2607
60	167	2577
61	168	2548
62	169	2520
63	170	2493
64	171	2467
65	172	2442
66	173	2416
67	174	2392
68	175	2368
69	178	2373
70	179	2350
71	180	2327
72	181	2306
73	182	2285
74	183	2264
75	184	2244
76	185	2224
77	186	2205
78	187	2185
79	188	2167
80	189	2149
81	190	2131
82	190	2108
83	192	2100
84	193	2083
85	195	2074
86	196	2063
87	197	2050
88	198	2035
89	199	2020
90	201	2008
91	202	1995
92	203	1981
93	204	1968
94	206	1970
95	208	1960
96	209	1947
97	210	1934
98	211	1921
99	212	1908
100	212	1895
101	213	1883
102	214	1870
103	215	1859
104	216	1847
105	217	1836
106	219	1828
107	220	1818
108	223	1825
109	224	1815
110	225	1804
111	226	1794
112	227	1784
113	228	1774
114	229	1764
115	230	1757
116	231	1746
117	232	1739
118	233	1730
119	234	1721
120	235	1712
121	238	1717
122	239	1708
123	240	1700
124	241	1692
125	242	1684
126	243	1674
127	244	1666
128	245	1658
129	246	1650
130	247	1643
131	248	1637
132	249	1629
133	250	1622
134	254	1627
135	255	1620
136	256	1612
137	256	1605
138	258	1598
139	259	1591
140	260	1584
141	260	1574
142	261	1567
143	262	1561
144	263	1554
145	264	1548
146	265	1541
147	268	1545
148	269	1540
149	270	1534
150	271	1528
151	272	1522
152	273	1515
153	274	1510
154	275	1504
155	276	1498
156	277	1492
157	278	1486
158	280	1481
159	281	1475
160	283	1475
161	284	1470
162	285	1465
163	286	1459
164	287	1454
165	288	1448
166	289	1443
167	290	1438
168	291	1433
169	292	1428
170	293	1423
171	294	1417
172	295	1412
173	296	1408
174	298	1404
175	299	1399
176	299	1394
177	300	1389
178	301	1384
179	302	1379
180	303	1375
181	304	1370
182	305	1365
183	306	1360
184	307	1356
185	308	1351
186	309	1347
187	312	1349
188	313	1346
189	314	1341
190	318	1347
191	319	1344
192	320	1341
193	322	1338
194	323	1334
195	324	1331
196	325	1328
197	328	1332
198	330	1328
199	331	1326
200	332	1322
201	333	1318
202	335	1316
203	336	1313
204	337	1310
205	339	1307
206	340	1304
207	343	1308
208	345	1305
209	346	1302
210	347	1299
211	348	1296
212	350	1293
213	351	1290
214	352	1287
215	356	1294
216	360	1299
217	371	1330
218	372	1327
219	373	1324
220	374	1321
221	375	1317
222	376	1312
223	378	1309
224	379	1305
225	379	1301
226	380	1297
227	381	1293
228	382	1289
229	383	1285
230	384	1281
231	385	1277
